Date & Time,Flow (cfs),Location,Year,,,
1/8/1928,969,"Rio Grande at San Felipe, NM",1928,,,
1/9/1928,969,"Rio Grande at San Felipe, NM",1928,,,
1/10/1928,969,"Rio Grande at San Felipe, NM",1928,,,
1/11/1928,969,"Rio Grande at San Felipe, NM",1928,,,
1/12/1928,981,"Rio Grande at San Felipe, NM",1928,,,
1/13/1928,981,"Rio Grande at San Felipe, NM",1928,,,
1/14/1928,981,"Rio Grande at San Felipe, NM",1928,,,
1/15/1928,981,"Rio Grande at San Felipe, NM",1928,,,
1/16/1928,1020,"Rio Grande at San Felipe, NM",1928,,,
1/17/1928,1030,"Rio Grande at San Felipe, NM",1928,,,
1/18/1928,980,"Rio Grande at San Felipe, NM",1928,,,
1/19/1928,890,"Rio Grande at San Felipe, NM",1928,,,
1/20/1928,780,"Rio Grande at San Felipe, NM",1928,,,
1/21/1928,720,"Rio Grande at San Felipe, NM",1928,,,
1/22/1928,710,"Rio Grande at San Felipe, NM",1928,,,
1/23/1928,802,"Rio Grande at San Felipe, NM",1928,,,
1/24/1928,791,"Rio Grande at San Felipe, NM",1928,,,
1/25/1928,730,"Rio Grande at San Felipe, NM",1928,,,
1/26/1928,740,"Rio Grande at San Felipe, NM",1928,,,
1/27/1928,740,"Rio Grande at San Felipe, NM",1928,,,
1/28/1928,690,"Rio Grande at San Felipe, NM",1928,,,
1/29/1928,790,"Rio Grande at San Felipe, NM",1928,,,
1/30/1928,880,"Rio Grande at San Felipe, NM",1928,,,
1/31/1928,880,"Rio Grande at San Felipe, NM",1928,,,
2/1/1928,890,"Rio Grande at San Felipe, NM",1928,,,
2/2/1928,901,"Rio Grande at San Felipe, NM",1928,,,
2/3/1928,957,"Rio Grande at San Felipe, NM",1928,,,
2/4/1928,969,"Rio Grande at San Felipe, NM",1928,,,
2/5/1928,981,"Rio Grande at San Felipe, NM",1928,,,
2/6/1928,1030,"Rio Grande at San Felipe, NM",1928,,,
2/7/1928,1110,"Rio Grande at San Felipe, NM",1928,,,
2/8/1928,1120,"Rio Grande at San Felipe, NM",1928,,,
2/9/1928,1070,"Rio Grande at San Felipe, NM",1928,,,
2/10/1928,1060,"Rio Grande at San Felipe, NM",1928,,,
2/11/1928,969,"Rio Grande at San Felipe, NM",1928,,,
2/12/1928,901,"Rio Grande at San Felipe, NM",1928,,,
2/13/1928,912,"Rio Grande at San Felipe, NM",1928,,,
2/14/1928,993,"Rio Grande at San Felipe, NM",1928,,,
2/15/1928,912,"Rio Grande at San Felipe, NM",1928,,,
2/16/1928,857,"Rio Grande at San Felipe, NM",1928,,,
2/17/1928,890,"Rio Grande at San Felipe, NM",1928,,,
2/18/1928,890,"Rio Grande at San Felipe, NM",1928,,,
2/19/1928,846,"Rio Grande at San Felipe, NM",1928,,,
2/20/1928,835,"Rio Grande at San Felipe, NM",1928,,,
2/21/1928,879,"Rio Grande at San Felipe, NM",1928,,,
2/22/1928,912,"Rio Grande at San Felipe, NM",1928,,,
2/23/1928,912,"Rio Grande at San Felipe, NM",1928,,,
2/24/1928,824,"Rio Grande at San Felipe, NM",1928,,,
2/25/1928,880,"Rio Grande at San Felipe, NM",1928,,,
2/26/1928,890,"Rio Grande at San Felipe, NM",1928,,,
2/27/1928,845,"Rio Grande at San Felipe, NM",1928,,,
2/28/1928,890,"Rio Grande at San Felipe, NM",1928,,,
2/29/1928,923,"Rio Grande at San Felipe, NM",1928,,,
